% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-9.348399192094803E-002,3.294018330052495E-003,-4.507527351379395E-001,-8.527482151985169E-001,-9.348399192094803E-002,3.294018330052495E-003,-4.507527351379395E-001,-8.527482151985169E-001,
6.983666666666666E+008,-8.755733817815781E-002,6.350322160869837E-003,-4.691398441791534E-001,-8.374010920524597E-001,-8.755733817815781E-002,6.350322160869837E-003,-4.691398441791534E-001,-8.374010920524597E-001,
7.067333333333334E+008,-8.148493617773056E-002,5.286020226776600E-003,-4.984095692634583E-001,-8.141401410102844E-001,-8.148493617773056E-002,5.286020226776600E-003,-4.984095692634583E-001,-8.141401410102844E-001,
7.151000000000000E+008,-8.034589886665344E-002,-1.671471050940454E-003,-5.069909691810608E-001,-8.079648017883301E-001,-8.034589886665344E-002,-1.671471050940454E-003,-5.069909691810608E-001,-8.079648017883301E-001,
7.234666666666666E+008,-8.030296117067337E-002,-5.258670076727867E-003,-5.468911528587341E-001,-7.963719964027405E-001,-8.030296117067337E-002,-5.258670076727867E-003,-5.468911528587341E-001,-7.963719964027405E-001,
7.318333333333334E+008,-8.735449612140656E-002,-7.852029986679554E-003,-5.513298511505127E-001,-7.902662754058838E-001,-8.735449612140656E-002,-7.852029986679554E-003,-5.513298511505127E-001,-7.902662754058838E-001,
7.402000000000000E+008,-9.492421895265579E-002,-4.974653944373131E-003,-5.840711593627930E-001,-7.680734992027283E-001,-9.492421895265579E-002,-4.974653944373131E-003,-5.840711593627930E-001,-7.680734992027283E-001,
7.485666666666666E+008,-9.983102232217789E-002,7.486333488486707E-004,-6.076620817184448E-001,-7.334676980972290E-001,-9.983102232217789E-002,7.486333488486707E-004,-6.076620817184448E-001,-7.334676980972290E-001,
7.569333333333334E+008,-1.008710041642189E-001,1.126143522560597E-002,-6.250032782554627E-001,-7.359167933464050E-001,-1.008710041642189E-001,1.126143522560597E-002,-6.250032782554627E-001,-7.359167933464050E-001,
7.653000000000000E+008,-9.779860824346542E-002,2.103102952241898E-002,-6.296622753143311E-001,-7.298740148544312E-001,-9.779860824346542E-002,2.103102952241898E-002,-6.296622753143311E-001,-7.298740148544312E-001,
7.736666666666666E+008,-9.091744571924210E-002,3.101237118244171E-002,-6.564598083496094E-001,-7.224448919296265E-001,-9.091744571924210E-002,3.101237118244171E-002,-6.564598083496094E-001,-7.224448919296265E-001,
7.820333333333334E+008,-8.434648066759110E-002,3.670002147555351E-002,-6.803529262542725E-001,-6.996490955352783E-001,-8.434648066759110E-002,3.670002147555351E-002,-6.803529262542725E-001,-6.996490955352783E-001,
7.904000000000000E+008,-7.430580258369446E-002,3.654707595705986E-002,-6.971210837364197E-001,-6.791450381278992E-001,-7.430580258369446E-002,3.654707595705986E-002,-6.971210837364197E-001,-6.791450381278992E-001,
7.987666666666666E+008,-6.662140041589737E-002,3.431470692157745E-002,-7.093935012817383E-001,-6.599855422973633E-001,-6.662140041589737E-002,3.431470692157745E-002,-7.093935012817383E-001,-6.599855422973633E-001,
8.071333333333334E+008,-6.579426676034927E-002,3.125527501106262E-002,-7.258068919181824E-001,-6.483961343765259E-001,-6.579426676034927E-002,3.125527501106262E-002,-7.258068919181824E-001,-6.483961343765259E-001,
8.155000000000000E+008,-6.877432018518448E-002,2.478844672441483E-002,-7.362778186798096E-001,-6.029587388038635E-001,-6.877432018518448E-002,2.478844672441483E-002,-7.362778186798096E-001,-6.029587388038635E-001,
8.238666666666666E+008,-7.305611670017242E-002,2.307882905006409E-002,-7.684141397476196E-001,-6.066441535949707E-001,-7.305611670017242E-002,2.307882905006409E-002,-7.684141397476196E-001,-6.066441535949707E-001,
8.322333333333334E+008,-8.069988340139389E-002,2.512124367058277E-002,-7.762556672096252E-001,-5.783298015594482E-001,-8.069988340139389E-002,2.512124367058277E-002,-7.762556672096252E-001,-5.783298015594482E-001,
8.406000000000000E+008,-8.547333627939224E-002,2.943735010921955E-002,-7.934857606887817E-001,-5.673142671585083E-001,-8.547333627939224E-002,2.943735010921955E-002,-7.934857606887817E-001,-5.673142671585083E-001,
8.489666666666668E+008,-8.616794645786285E-002,3.777278214693070E-002,-8.138492703437805E-001,-5.412076115608215E-001,-8.616794645786285E-002,3.777278214693070E-002,-8.138492703437805E-001,-5.412076115608215E-001,
