% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-5.103241652250290E-002,4.157160222530365E-002,-5.020251274108887E-001,-8.470324873924255E-001,-5.103241652250290E-002,4.157160222530365E-002,-5.020251274108887E-001,-8.470324873924255E-001,
6.983666666666666E+008,-4.265614971518517E-002,4.178220406174660E-002,-5.205560326576233E-001,-8.279867768287659E-001,-4.265614971518517E-002,4.178220406174660E-002,-5.205560326576233E-001,-8.279867768287659E-001,
7.067333333333334E+008,-3.727499395608902E-002,3.859665244817734E-002,-5.481144189834595E-001,-8.031046390533447E-001,-3.727499395608902E-002,3.859665244817734E-002,-5.481144189834595E-001,-8.031046390533447E-001,
7.151000000000000E+008,-3.802692517638207E-002,3.049846738576889E-002,-5.594851374626160E-001,-7.972002625465393E-001,-3.802692517638207E-002,3.049846738576889E-002,-5.594851374626160E-001,-7.972002625465393E-001,
7.234666666666666E+008,-3.784283995628357E-002,2.497068047523499E-002,-5.951966047286987E-001,-7.847040891647339E-001,-3.784283995628357E-002,2.497068047523499E-002,-5.951966047286987E-001,-7.847040891647339E-001,
7.318333333333334E+008,-4.572188854217529E-002,2.255625464022160E-002,-6.025891304016113E-001,-7.805905342102051E-001,-4.572188854217529E-002,2.255625464022160E-002,-6.025891304016113E-001,-7.805905342102051E-001,
7.402000000000000E+008,-5.346398428082466E-002,2.454769983887672E-002,-6.329969167709351E-001,-7.548388838768005E-001,-5.346398428082466E-002,2.454769983887672E-002,-6.329969167709351E-001,-7.548388838768005E-001,
7.485666666666666E+008,-5.873405560851097E-002,3.036624193191528E-002,-6.525641083717346E-001,-7.168008685112000E-001,-5.873405560851097E-002,3.036624193191528E-002,-6.525641083717346E-001,-7.168008685112000E-001,
7.569333333333334E+008,-5.897165834903717E-002,3.948498889803886E-002,-6.678930521011353E-001,-7.172058820724487E-001,-5.897165834903717E-002,3.948498889803886E-002,-6.678930521011353E-001,-7.172058820724487E-001,
7.653000000000000E+008,-5.551985651254654E-002,4.847612231969833E-002,-6.749373078346252E-001,-7.122623920440674E-001,-5.551985651254654E-002,4.847612231969833E-002,-6.749373078346252E-001,-7.122623920440674E-001,
7.736666666666666E+008,-4.744881764054298E-002,5.722304433584213E-002,-7.019750475883484E-001,-7.028347253799439E-001,-4.744881764054298E-002,5.722304433584213E-002,-7.019750475883484E-001,-7.028347253799439E-001,
7.820333333333334E+008,-4.058606177568436E-002,6.110675632953644E-002,-7.236653566360474E-001,-6.815698742866516E-001,-4.058606177568436E-002,6.110675632953644E-002,-7.236653566360474E-001,-6.815698742866516E-001,
7.904000000000000E+008,-3.112152963876724E-002,5.961441993713379E-002,-7.412104606628418E-001,-6.574227213859558E-001,-3.112152963876724E-002,5.961441993713379E-002,-7.412104606628418E-001,-6.574227213859558E-001,
7.987666666666666E+008,-2.335883118212223E-002,5.519368126988411E-002,-7.547332048416138E-001,-6.369799375534058E-001,-2.335883118212223E-002,5.519368126988411E-002,-7.547332048416138E-001,-6.369799375534058E-001,
8.071333333333334E+008,-2.354501001536846E-002,5.084640532732010E-002,-7.702839970588684E-001,-6.261020302772522E-001,-2.354501001536846E-002,5.084640532732010E-002,-7.702839970588684E-001,-6.261020302772522E-001,
8.155000000000000E+008,-2.763252891600132E-002,4.334067925810814E-002,-7.737379074096680E-001,-5.789413452148438E-001,-2.763252891600132E-002,4.334067925810814E-002,-7.737379074096680E-001,-5.789413452148438E-001,
8.238666666666666E+008,-3.239774331450462E-002,4.058194905519486E-002,-8.038949966430664E-001,-5.836265683174133E-001,-3.239774331450462E-002,4.058194905519486E-002,-8.038949966430664E-001,-5.836265683174133E-001,
8.322333333333334E+008,-4.095404967665672E-002,4.241036623716354E-002,-8.173035979270935E-001,-5.556964278221130E-001,-4.095404967665672E-002,4.241036623716354E-002,-8.173035979270935E-001,-5.556964278221130E-001,
8.406000000000000E+008,-4.551614448428154E-002,4.594103619456291E-002,-8.274167776107788E-001,-5.399546027183533E-001,-4.551614448428154E-002,4.594103619456291E-002,-8.274167776107788E-001,-5.399546027183533E-001,
8.489666666666668E+008,-4.610710218548775E-002,5.440521985292435E-002,-8.504347801208496E-001,-5.150344967842102E-001,-4.610710218548775E-002,5.440521985292435E-002,-8.504347801208496E-001,-5.150344967842102E-001,
