% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-6.958265602588654E-002,4.883256554603577E-002,-5.002673864364624E-001,-8.336306810379028E-001,-6.958265602588654E-002,4.883256554603577E-002,-5.002673864364624E-001,-8.336306810379028E-001,
6.983666666666666E+008,-6.200258806347847E-002,4.995159059762955E-002,-5.162787437438965E-001,-8.166018128395081E-001,-6.200258806347847E-002,4.995159059762955E-002,-5.162787437438965E-001,-8.166018128395081E-001,
7.067333333333334E+008,-5.579495802521706E-002,4.785535857081413E-002,-5.454080104827881E-001,-7.899845242500305E-001,-5.579495802521706E-002,4.785535857081413E-002,-5.454080104827881E-001,-7.899845242500305E-001,
7.151000000000000E+008,-5.647393316030502E-002,4.017103835940361E-002,-5.536158680915833E-001,-7.829915881156921E-001,-5.647393316030502E-002,4.017103835940361E-002,-5.536158680915833E-001,-7.829915881156921E-001,
7.234666666666666E+008,-5.609172955155373E-002,3.609134256839752E-002,-5.919600129127502E-001,-7.702590227127075E-001,-5.609172955155373E-002,3.609134256839752E-002,-5.919600129127502E-001,-7.702590227127075E-001,
7.318333333333334E+008,-6.338434666395187E-002,3.406776115298271E-002,-5.981337428092957E-001,-7.652642726898193E-001,-6.338434666395187E-002,3.406776115298271E-002,-5.981337428092957E-001,-7.652642726898193E-001,
7.402000000000000E+008,-7.044345885515213E-002,3.796717151999474E-002,-6.262474060058594E-001,-7.421444058418274E-001,-7.044345885515213E-002,3.796717151999474E-002,-6.262474060058594E-001,-7.421444058418274E-001,
7.485666666666666E+008,-7.490266859531403E-002,4.389759525656700E-002,-6.476004719734192E-001,-7.054359912872315E-001,-7.490266859531403E-002,4.389759525656700E-002,-6.476004719734192E-001,-7.054359912872315E-001,
7.569333333333334E+008,-7.449030131101608E-002,5.335057526826859E-002,-6.629128456115723E-001,-7.061844468116760E-001,-7.449030131101608E-002,5.335057526826859E-002,-6.629128456115723E-001,-7.061844468116760E-001,
7.653000000000000E+008,-7.034385949373245E-002,6.262186914682388E-002,-6.692697405815125E-001,-7.001556754112244E-001,-7.034385949373245E-002,6.262186914682388E-002,-6.692697405815125E-001,-7.001556754112244E-001,
