% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-5.606045201420784E-002,4.702915996313095E-002,-5.089307427406311E-001,-8.436832427978516E-001,-5.606045201420784E-002,4.702915996313095E-002,-5.089307427406311E-001,-8.436832427978516E-001,
6.983666666666666E+008,-4.831493273377419E-002,4.768269509077072E-002,-5.283284783363342E-001,-8.280602097511292E-001,-4.831493273377419E-002,4.768269509077072E-002,-5.283284783363342E-001,-8.280602097511292E-001,
7.067333333333334E+008,-4.216441512107849E-002,4.448281601071358E-002,-5.575314164161682E-001,-7.998835444450378E-001,-4.216441512107849E-002,4.448281601071358E-002,-5.575314164161682E-001,-7.998835444450378E-001,
7.151000000000000E+008,-4.304420202970505E-002,3.638130798935890E-002,-5.657863616943359E-001,-7.919692993164063E-001,-4.304420202970505E-002,3.638130798935890E-002,-5.657863616943359E-001,-7.919692993164063E-001,
7.234666666666666E+008,-4.322528839111328E-002,3.111583925783634E-002,-6.041561961174011E-001,-7.791392803192139E-001,-4.322528839111328E-002,3.111583925783634E-002,-6.041561961174011E-001,-7.791392803192139E-001,
7.318333333333334E+008,-5.101413652300835E-002,2.874925918877125E-002,-6.106182932853699E-001,-7.728525996208191E-001,-5.101413652300835E-002,2.874925918877125E-002,-6.106182932853699E-001,-7.728525996208191E-001,
7.402000000000000E+008,-5.835244804620743E-002,3.103237412869930E-002,-6.407611966133118E-001,-7.483842968940735E-001,-5.835244804620743E-002,3.103237412869930E-002,-6.407611966133118E-001,-7.483842968940735E-001,
7.485666666666666E+008,-6.321547180414200E-002,3.705266490578651E-002,-6.625757813453674E-001,-7.125267982482910E-001,-6.321547180414200E-002,3.705266490578651E-002,-6.625757813453674E-001,-7.125267982482910E-001,
7.569333333333334E+008,-6.357168406248093E-002,4.652375727891922E-002,-6.760722994804382E-001,-7.137748003005981E-001,-6.357168406248093E-002,4.652375727891922E-002,-6.760722994804382E-001,-7.137748003005981E-001,
7.653000000000000E+008,-5.954810231924057E-002,5.567962676286697E-002,-6.835001707077026E-001,-7.059074044227600E-001,-5.954810231924057E-002,5.567962676286697E-002,-6.835001707077026E-001,-7.059074044227600E-001,
7.736666666666666E+008,-5.137663707137108E-002,6.442913413047791E-002,-7.115758061408997E-001,-6.972296833992004E-001,-5.137663707137108E-002,6.442913413047791E-002,-7.115758061408997E-001,-6.972296833992004E-001,
7.820333333333334E+008,-4.437577724456787E-002,6.834386289119721E-002,-7.331792712211609E-001,-6.740822196006775E-001,-4.437577724456787E-002,6.834386289119721E-002,-7.331792712211609E-001,-6.740822196006775E-001,
