% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-4.480883106589317E-002,3.907973691821098E-002,-4.975744485855103E-001,-8.543446660041809E-001,-4.480883106589317E-002,3.907973691821098E-002,-4.975744485855103E-001,-8.543446660041809E-001,
6.983666666666666E+008,-3.706772997975349E-002,3.930105268955231E-002,-5.145909190177918E-001,-8.368505239486694E-001,-3.706772997975349E-002,3.930105268955231E-002,-5.145909190177918E-001,-8.368505239486694E-001,
7.067333333333334E+008,-3.096417710185051E-002,3.611441329121590E-002,-5.438376665115356E-001,-8.103810548782349E-001,-3.096417710185051E-002,3.611441329121590E-002,-5.438376665115356E-001,-8.103810548782349E-001,
7.151000000000000E+008,-3.166879713535309E-002,2.772539108991623E-002,-5.526189804077148E-001,-8.026614785194397E-001,-3.166879713535309E-002,2.772539108991623E-002,-5.526189804077148E-001,-8.026614785194397E-001,
7.234666666666666E+008,-3.167335316538811E-002,2.190321311354637E-002,-5.911989212036133E-001,-7.912936806678772E-001,-3.167335316538811E-002,2.190321311354637E-002,-5.911989212036133E-001,-7.912936806678772E-001,
7.318333333333334E+008,-3.914360329508781E-002,1.853091828525066E-002,-5.971483588218689E-001,-7.860593795776367E-001,-3.914360329508781E-002,1.853091828525066E-002,-5.971483588218689E-001,-7.860593795776367E-001,
7.402000000000000E+008,-4.667222872376442E-002,2.016432397067547E-002,-6.276417970657349E-001,-7.627950310707092E-001,-4.667222872376442E-002,2.016432397067547E-002,-6.276417970657349E-001,-7.627950310707092E-001,
7.485666666666666E+008,-5.170943960547447E-002,2.558049000799656E-002,-6.493418812751770E-001,-7.253891229629517E-001,-5.170943960547447E-002,2.558049000799656E-002,-6.493418812751770E-001,-7.253891229629517E-001,
7.569333333333334E+008,-5.246741697192192E-002,3.467779234051704E-002,-6.646271944046021E-001,-7.276172637939453E-001,-5.246741697192192E-002,3.467779234051704E-002,-6.646271944046021E-001,-7.276172637939453E-001,
7.653000000000000E+008,-4.896993562579155E-002,4.358191788196564E-002,-6.723377108573914E-001,-7.207478880882263E-001,-4.896993562579155E-002,4.358191788196564E-002,-6.723377108573914E-001,-7.207478880882263E-001,
7.736666666666666E+008,-4.095597192645073E-002,5.241881310939789E-002,-6.975967884063721E-001,-7.122081518173218E-001,-4.095597192645073E-002,5.241881310939789E-002,-6.975967884063721E-001,-7.122081518173218E-001,
7.820333333333334E+008,-3.438063338398933E-002,5.642689019441605E-002,-7.211127877235413E-001,-6.897841095924377E-001,-3.438063338398933E-002,5.642689019441605E-002,-7.211127877235413E-001,-6.897841095924377E-001,
7.904000000000000E+008,-2.469632960855961E-002,5.506247282028198E-002,-7.357835173606873E-001,-6.670134067535400E-001,-2.469632960855961E-002,5.506247282028198E-002,-7.357835173606873E-001,-6.670134067535400E-001,
7.987666666666666E+008,-1.734209805727005E-002,5.052327364683151E-002,-7.483341097831726E-001,-6.467973589897156E-001,-1.734209805727005E-002,5.052327364683151E-002,-7.483341097831726E-001,-6.467973589897156E-001,
8.071333333333334E+008,-1.739083044230938E-002,4.596261307597160E-002,-7.611714005470276E-001,-6.338679790496826E-001,-1.739083044230938E-002,4.596261307597160E-002,-7.611714005470276E-001,-6.338679790496826E-001,
8.155000000000000E+008,-2.146021090447903E-002,3.864515200257301E-002,-7.716935276985169E-001,-5.879206061363220E-001,-2.146021090447903E-002,3.864515200257301E-002,-7.716935276985169E-001,-5.879206061363220E-001,
8.238666666666666E+008,-2.620580419898033E-002,3.546420857310295E-002,-8.032196760177612E-001,-5.927358865737915E-001,-2.620580419898033E-002,3.546420857310295E-002,-8.032196760177612E-001,-5.927358865737915E-001,
8.322333333333334E+008,-3.465756773948669E-002,3.716093674302101E-002,-8.149167895317078E-001,-5.645177960395813E-001,-3.465756773948669E-002,3.716093674302101E-002,-8.149167895317078E-001,-5.645177960395813E-001,
8.406000000000000E+008,-3.942169621586800E-002,4.048877581954002E-002,-8.273761868476868E-001,-5.501001477241516E-001,-3.942169621586800E-002,4.048877581954002E-002,-8.273761868476868E-001,-5.501001477241516E-001,
8.489666666666668E+008,-3.987283632159233E-002,4.836303368210793E-002,-8.480292558670044E-001,-5.238411426544190E-001,-3.987283632159233E-002,4.836303368210793E-002,-8.480292558670044E-001,-5.238411426544190E-001,
8.573333333333334E+008,-3.660766035318375E-002,5.585215240716934E-002,-8.533416986465454E-001,-5.067651867866516E-001,-3.660766035318375E-002,5.585215240716934E-002,-8.533416986465454E-001,-5.067651867866516E-001,
8.657000000000000E+008,-2.972588501870632E-002,6.465284526348114E-002,-8.697505593299866E-001,-4.777843654155731E-001,-2.972588501870632E-002,6.465284526348114E-002,-8.697505593299866E-001,-4.777843654155731E-001,
8.740666666666668E+008,-2.112073637545109E-002,6.978087127208710E-002,-8.638469576835632E-001,-4.587953090667725E-001,-2.112073637545109E-002,6.978087127208710E-002,-8.638469576835632E-001,-4.587953090667725E-001,
8.824333333333334E+008,-1.161091122776270E-002,6.873436272144318E-002,-8.957194685935974E-001,-4.274049401283264E-001,-1.161091122776270E-002,6.873436272144318E-002,-8.957194685935974E-001,-4.274049401283264E-001,
8.908000000000000E+008,-4.010034259408712E-003,6.874266266822815E-002,-9.065991640090942E-001,-4.245662093162537E-001,-4.010034259408712E-003,6.874266266822815E-002,-9.065991640090942E-001,-4.245662093162537E-001,
8.991666666666668E+008,-1.095497049391270E-003,6.186749413609505E-002,-9.183437824249268E-001,-3.947837352752686E-001,-1.095497049391270E-003,6.186749413609505E-002,-9.183437824249268E-001,-3.947837352752686E-001,
9.075333333333334E+008,-1.010943320579827E-003,5.726316198706627E-002,-9.101903438568115E-001,-3.693446516990662E-001,-1.010943320579827E-003,5.726316198706627E-002,-9.101903438568115E-001,-3.693446516990662E-001,
9.159000000000000E+008,-3.796313423663378E-003,5.198509618639946E-002,-9.251378774642944E-001,-3.590028584003449E-001,-3.796313423663378E-003,5.198509618639946E-002,-9.251378774642944E-001,-3.590028584003449E-001,
9.242666666666668E+008,-9.089036844670773E-003,4.732606559991837E-002,-9.362460374832153E-001,-3.336468636989594E-001,-9.089036844670773E-003,4.732606559991837E-002,-9.362460374832153E-001,-3.336468636989594E-001,
9.326333333333334E+008,-1.386225409805775E-002,4.922538623213768E-002,-9.408874511718750E-001,-2.990898191928864E-001,-1.386225409805775E-002,4.922538623213768E-002,-9.408874511718750E-001,-2.990898191928864E-001,
9.410000000000000E+008,-1.922203972935677E-002,5.531666055321693E-002,-9.468999505043030E-001,-2.715338766574860E-001,-1.922203972935677E-002,5.531666055321693E-002,-9.468999505043030E-001,-2.715338766574860E-001,
9.493666666666668E+008,-2.011032775044441E-002,6.241017207503319E-002,-9.532901048660278E-001,-2.622902989387512E-001,-2.011032775044441E-002,6.241017207503319E-002,-9.532901048660278E-001,-2.622902989387512E-001,
