% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-4.671594128012657E-002,3.797988966107369E-002,-5.008667707443237E-001,-8.459759950637817E-001,-4.671594128012657E-002,3.797988966107369E-002,-5.008667707443237E-001,-8.459759950637817E-001,
6.983666666666666E+008,-3.914110362529755E-002,3.836062178015709E-002,-5.180912613868713E-001,-8.285924792289734E-001,-3.914110362529755E-002,3.836062178015709E-002,-5.180912613868713E-001,-8.285924792289734E-001,
7.067333333333334E+008,-3.336902335286140E-002,3.529278188943863E-002,-5.466104149818420E-001,-8.020972013473511E-001,-3.336902335286140E-002,3.529278188943863E-002,-5.466104149818420E-001,-8.020972013473511E-001,
7.151000000000000E+008,-3.421682864427567E-002,2.710231207311153E-002,-5.555353760719299E-001,-7.943161129951477E-001,-3.421682864427567E-002,2.710231207311153E-002,-5.555353760719299E-001,-7.943161129951477E-001,
7.234666666666666E+008,-3.428976982831955E-002,2.158285863697529E-002,-5.938679575920105E-001,-7.825391888618469E-001,-3.428976982831955E-002,2.158285863697529E-002,-5.938679575920105E-001,-7.825391888618469E-001,
7.318333333333334E+008,-4.183277115225792E-002,1.852055452764034E-002,-5.998092889785767E-001,-7.772225737571716E-001,-4.183277115225792E-002,1.852055452764034E-002,-5.998092889785767E-001,-7.772225737571716E-001,
7.402000000000000E+008,-4.927131533622742E-002,2.043365128338337E-002,-6.301996707916260E-001,-7.537974715232849E-001,-4.927131533622742E-002,2.043365128338337E-002,-6.301996707916260E-001,-7.537974715232849E-001,
7.485666666666666E+008,-5.417648702859879E-002,2.587236277759075E-002,-6.512423753738403E-001,-7.161578536033630E-001,-5.417648702859879E-002,2.587236277759075E-002,-6.512423753738403E-001,-7.161578536033630E-001,
7.569333333333334E+008,-5.478477478027344E-002,3.495483845472336E-002,-6.666582226753235E-001,-7.182393670082092E-001,-5.478477478027344E-002,3.495483845472336E-002,-6.666582226753235E-001,-7.182393670082092E-001,
7.653000000000000E+008,-5.121974647045136E-002,4.374315217137337E-002,-6.741136908531189E-001,-7.111592888832092E-001,-5.121974647045136E-002,4.374315217137337E-002,-6.741136908531189E-001,-7.111592888832092E-001,
7.736666666666666E+008,-4.326817020773888E-002,5.244078114628792E-002,-6.989935636520386E-001,-7.028612494468689E-001,-4.326817020773888E-002,5.244078114628792E-002,-6.989935636520386E-001,-7.028612494468689E-001,
7.820333333333334E+008,-3.669274225831032E-002,5.623321607708931E-002,-7.220860719680786E-001,-6.799682378768921E-001,-3.669274225831032E-002,5.623321607708931E-002,-7.220860719680786E-001,-6.799682378768921E-001,
7.904000000000000E+008,-2.718536742031574E-002,5.474014580249786E-002,-7.364441752433777E-001,-6.570686697959900E-001,-2.718536742031574E-002,5.474014580249786E-002,-7.364441752433777E-001,-6.570686697959900E-001,
7.987666666666666E+008,-2.004224807024002E-002,5.031147226691246E-002,-7.488589882850647E-001,-6.373733878135681E-001,-2.004224807024002E-002,5.031147226691246E-002,-7.488589882850647E-001,-6.373733878135681E-001,
8.071333333333334E+008,-2.019675076007843E-002,4.593492299318314E-002,-7.619682550430298E-001,-6.238498687744141E-001,-2.019675076007843E-002,4.593492299318314E-002,-7.619682550430298E-001,-6.238498687744141E-001,
8.155000000000000E+008,-2.427461184561253E-002,3.892421349883080E-002,-7.722102999687195E-001,-5.785436630249023E-001,-2.427461184561253E-002,3.892421349883080E-002,-7.722102999687195E-001,-5.785436630249023E-001,
8.238666666666666E+008,-2.909808419644833E-002,3.608030825853348E-002,-8.036330938339233E-001,-5.827080011367798E-001,-2.909808419644833E-002,3.608030825853348E-002,-8.036330938339233E-001,-5.827080011367798E-001,
8.322333333333334E+008,-3.744038194417954E-002,3.791922703385353E-002,-8.151352405548096E-001,-5.541995763778687E-001,-3.744038194417954E-002,3.791922703385353E-002,-8.151352405548096E-001,-5.541995763778687E-001,
8.406000000000000E+008,-4.209237173199654E-002,4.130207374691963E-002,-8.272889852523804E-001,-5.396947860717773E-001,-4.209237173199654E-002,4.130207374691963E-002,-8.272889852523804E-001,-5.396947860717773E-001,
8.489666666666668E+008,-4.251288250088692E-002,4.914152622222900E-002,-8.470107316970825E-001,-5.132861137390137E-001,-4.251288250088692E-002,4.914152622222900E-002,-8.470107316970825E-001,-5.132861137390137E-001,
8.573333333333334E+008,-3.915850445628166E-002,5.675717815756798E-002,-8.522745966911316E-001,-4.959010183811188E-001,-3.915850445628166E-002,5.675717815756798E-002,-8.522745966911316E-001,-4.959010183811188E-001,
8.657000000000000E+008,-3.226511180400848E-002,6.542637199163437E-002,-8.679013848304749E-001,-4.675974249839783E-001,-3.226511180400848E-002,6.542637199163437E-002,-8.679013848304749E-001,-4.675974249839783E-001,
8.740666666666668E+008,-2.377808094024658E-002,7.024854421615601E-002,-8.618464469909668E-001,-4.491013884544373E-001,-2.377808094024658E-002,7.024854421615601E-002,-8.618464469909668E-001,-4.491013884544373E-001,
8.824333333333334E+008,-1.444653328508139E-002,6.921772658824921E-002,-8.935146331787109E-001,-4.175133705139160E-001,-1.444653328508139E-002,6.921772658824921E-002,-8.935146331787109E-001,-4.175133705139160E-001,
8.908000000000000E+008,-7.016949821263552E-003,6.943713128566742E-002,-9.045853614807129E-001,-4.140714406967163E-001,-7.016949821263552E-003,6.943713128566742E-002,-9.045853614807129E-001,-4.140714406967163E-001,
8.991666666666668E+008,-4.272628575563431E-003,6.267057359218597E-002,-9.161781668663025E-001,-3.840917944908142E-001,-4.272628575563431E-003,6.267057359218597E-002,-9.161781668663025E-001,-3.840917944908142E-001,
9.075333333333334E+008,-4.345841705799103E-003,5.808531120419502E-002,-9.076898097991943E-001,-3.595192432403565E-001,-4.345841705799103E-003,5.808531120419502E-002,-9.076898097991943E-001,-3.595192432403565E-001,
9.159000000000000E+008,-7.078166585415602E-003,5.332171916961670E-002,-9.228038787841797E-001,-3.484948277473450E-001,-7.078166585415602E-003,5.332171916961670E-002,-9.228038787841797E-001,-3.484948277473450E-001,
9.242666666666668E+008,-1.224070973694325E-002,4.907830432057381E-002,-9.336905479431152E-001,-3.230267167091370E-001,-1.224070973694325E-002,4.907830432057381E-002,-9.336905479431152E-001,-3.230267167091370E-001,
9.326333333333334E+008,-1.679448783397675E-002,5.124359205365181E-002,-9.378406405448914E-001,-2.887758910655975E-001,-1.679448783397675E-002,5.124359205365181E-002,-9.378406405448914E-001,-2.887758910655975E-001,
