% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-5.016217753291130E-002,3.990552201867104E-002,-5.021720528602600E-001,-8.486138582229614E-001,-5.016217753291130E-002,3.990552201867104E-002,-5.021720528602600E-001,-8.486138582229614E-001,
6.983666666666666E+008,-4.245123639702797E-002,4.031378775835037E-002,-5.192708969116211E-001,-8.310277462005615E-001,-4.245123639702797E-002,4.031378775835037E-002,-5.192708969116211E-001,-8.310277462005615E-001,
7.067333333333334E+008,-3.640125691890717E-002,3.727381303906441E-002,-5.481166243553162E-001,-8.043227791786194E-001,-3.640125691890717E-002,3.727381303906441E-002,-5.481166243553162E-001,-8.043227791786194E-001,
7.151000000000000E+008,-3.707044571638107E-002,2.895802073180676E-002,-5.568101406097412E-001,-7.968335747718811E-001,-3.707044571638107E-002,2.895802073180676E-002,-5.568101406097412E-001,-7.968335747718811E-001,
7.234666666666666E+008,-3.709606826305389E-002,2.346090041100979E-002,-5.955681204795837E-001,-7.845526337623596E-001,-3.709606826305389E-002,2.346090041100979E-002,-5.955681204795837E-001,-7.845526337623596E-001,
7.318333333333334E+008,-4.467471316456795E-002,2.035278081893921E-002,-6.010471582412720E-001,-7.795870900154114E-001,-4.467471316456795E-002,2.035278081893921E-002,-6.010471582412720E-001,-7.795870900154114E-001,
7.402000000000000E+008,-5.221889540553093E-002,2.229062467813492E-002,-6.316119432449341E-001,-7.556595206260681E-001,-5.221889540553093E-002,2.229062467813492E-002,-6.316119432449341E-001,-7.556595206260681E-001,
7.485666666666666E+008,-5.734479799866676E-002,2.795503288507462E-002,-6.529581546783447E-001,-7.184617519378662E-001,-5.734479799866676E-002,2.795503288507462E-002,-6.529581546783447E-001,-7.184617519378662E-001,
7.569333333333334E+008,-5.810870975255966E-002,3.724246844649315E-002,-6.683511734008789E-001,-7.202818989753723E-001,-5.810870975255966E-002,3.724246844649315E-002,-6.683511734008789E-001,-7.202818989753723E-001,
7.653000000000000E+008,-5.464246124029160E-002,4.629588872194290E-002,-6.757714152336121E-001,-7.133238911628723E-001,-5.464246124029160E-002,4.629588872194290E-002,-6.757714152336121E-001,-7.133238911628723E-001,
7.736666666666666E+008,-4.666226729750633E-002,5.525130778551102E-002,-7.006409764289856E-001,-7.049863934516907E-001,-4.666226729750633E-002,5.525130778551102E-002,-7.006409764289856E-001,-7.049863934516907E-001,
7.820333333333334E+008,-4.001365229487419E-002,5.930566042661667E-002,-7.240676283836365E-001,-6.821476221084595E-001,-4.001365229487419E-002,5.930566042661667E-002,-7.240676283836365E-001,-6.821476221084595E-001,
7.904000000000000E+008,-3.027489036321640E-002,5.782806128263474E-002,-7.382992506027222E-001,-6.593885421752930E-001,-3.027489036321640E-002,5.782806128263474E-002,-7.382992506027222E-001,-6.593885421752930E-001,
