% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-6.447212398052216E-002,4.301885887980461E-002,-5.079268217086792E-001,-8.381335735321045E-001,-6.447212398052216E-002,4.301885887980461E-002,-5.079268217086792E-001,-8.381335735321045E-001,
6.983666666666666E+008,-5.704525485634804E-002,4.362044110894203E-002,-5.248670578002930E-001,-8.204371333122253E-001,-5.704525485634804E-002,4.362044110894203E-002,-5.248670578002930E-001,-8.204371333122253E-001,
7.067333333333334E+008,-5.139753222465515E-002,4.107027128338814E-002,-5.534512996673584E-001,-7.940995693206787E-001,-5.139753222465515E-002,4.107027128338814E-002,-5.534512996673584E-001,-7.940995693206787E-001,
7.151000000000000E+008,-5.237986519932747E-002,3.303214162588120E-002,-5.625421404838562E-001,-7.863088250160217E-001,-5.237986519932747E-002,3.303214162588120E-002,-5.625421404838562E-001,-7.863088250160217E-001,
7.234666666666666E+008,-5.254934728145599E-002,2.828074246644974E-002,-6.006321310997009E-001,-7.734126448631287E-001,-5.254934728145599E-002,2.828074246644974E-002,-6.006321310997009E-001,-7.734126448631287E-001,
7.318333333333334E+008,-6.022976338863373E-002,2.583704516291618E-002,-6.070445775985718E-001,-7.684451341629028E-001,-6.022976338863373E-002,2.583704516291618E-002,-6.070445775985718E-001,-7.684451341629028E-001,
7.402000000000000E+008,-6.740783900022507E-002,2.851845137774944E-002,-6.365593671798706E-001,-7.442867755889893E-001,-6.740783900022507E-002,2.851845137774944E-002,-6.365593671798706E-001,-7.442867755889893E-001,
7.485666666666666E+008,-7.221034914255142E-002,3.454902768135071E-002,-6.575290560722351E-001,-7.067663669586182E-001,-7.221034914255142E-002,3.454902768135071E-002,-6.575290560722351E-001,-7.067663669586182E-001,
7.569333333333334E+008,-7.224587351083756E-002,4.407788068056107E-002,-6.733284592628479E-001,-7.083570957183838E-001,-7.224587351083756E-002,4.407788068056107E-002,-6.733284592628479E-001,-7.083570957183838E-001,
7.653000000000000E+008,-6.840662658214569E-002,5.343579500913620E-002,-6.801861524581909E-001,-7.011488080024719E-001,-6.840662658214569E-002,5.343579500913620E-002,-6.801861524581909E-001,-7.011488080024719E-001,
7.736666666666666E+008,-6.031533703207970E-002,6.250957399606705E-002,-7.052742242813110E-001,-6.926926374435425E-001,-6.031533703207970E-002,6.250957399606705E-002,-7.052742242813110E-001,-6.926926374435425E-001,
7.820333333333334E+008,-5.362800508737564E-002,6.660842150449753E-002,-7.279593348503113E-001,-6.694553494453430E-001,-5.362800508737564E-002,6.660842150449753E-002,-7.279593348503113E-001,-6.694553494453430E-001,
7.904000000000000E+008,-4.411071911454201E-002,6.537228077650070E-002,-7.422575354576111E-001,-6.463732123374939E-001,-4.411071911454201E-002,6.537228077650070E-002,-7.422575354576111E-001,-6.463732123374939E-001,
7.987666666666666E+008,-3.681934624910355E-002,6.152524054050446E-002,-7.548494935035706E-001,-6.253408193588257E-001,-3.681934624910355E-002,6.152524054050446E-002,-7.548494935035706E-001,-6.253408193588257E-001,
8.071333333333334E+008,-3.720388934016228E-002,5.761620029807091E-002,-7.680077552795410E-001,-6.127819418907166E-001,-3.720388934016228E-002,5.761620029807091E-002,-7.680077552795410E-001,-6.127819418907166E-001,
8.155000000000000E+008,-4.114283248782158E-002,5.092873796820641E-002,-7.772106528282166E-001,-5.673909783363342E-001,-4.114283248782158E-002,5.092873796820641E-002,-7.772106528282166E-001,-5.673909783363342E-001,
