% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-5.667873844504356E-002,5.159802734851837E-002,-5.130926966667175E-001,-8.433347344398499E-001,-5.667873844504356E-002,5.159802734851837E-002,-5.130926966667175E-001,-8.433347344398499E-001,
6.983666666666666E+008,-4.883762821555138E-002,5.214504897594452E-002,-5.297750234603882E-001,-8.256684541702271E-001,-4.883762821555138E-002,5.214504897594452E-002,-5.297750234603882E-001,-8.256684541702271E-001,
7.067333333333334E+008,-4.283911362290382E-002,4.934501275420189E-002,-5.587174892425537E-001,-7.986430525779724E-001,-4.283911362290382E-002,4.934501275420189E-002,-5.587174892425537E-001,-7.986430525779724E-001,
7.151000000000000E+008,-4.372157901525497E-002,4.101758450269699E-002,-5.674464106559753E-001,-7.910810112953186E-001,-4.372157901525497E-002,4.101758450269699E-002,-5.674464106559753E-001,-7.910810112953186E-001,
7.234666666666666E+008,-4.366504400968552E-002,3.605154901742935E-002,-6.060351729393005E-001,-7.781935930252075E-001,-4.366504400968552E-002,3.605154901742935E-002,-6.060351729393005E-001,-7.781935930252075E-001,
7.318333333333334E+008,-5.121235176920891E-002,3.353882208466530E-002,-6.122419238090515E-001,-7.728390097618103E-001,-5.121235176920891E-002,3.353882208466530E-002,-6.122419238090515E-001,-7.728390097618103E-001,
7.402000000000000E+008,-5.837293341755867E-002,3.605021163821220E-002,-6.419485211372376E-001,-7.484385967254639E-001,-5.837293341755867E-002,3.605021163821220E-002,-6.419485211372376E-001,-7.484385967254639E-001,
7.485666666666666E+008,-6.312159448862076E-002,4.210517555475235E-002,-6.635473370552063E-001,-7.102876305580139E-001,-6.312159448862076E-002,4.210517555475235E-002,-6.635473370552063E-001,-7.102876305580139E-001,
7.569333333333334E+008,-6.308420002460480E-002,5.148905888199806E-002,-6.783443689346314E-001,-7.122098207473755E-001,-6.308420002460480E-002,5.148905888199806E-002,-6.783443689346314E-001,-7.122098207473755E-001,
7.653000000000000E+008,-5.898451060056686E-002,6.080177426338196E-002,-6.857151985168457E-001,-7.044900655746460E-001,-5.898451060056686E-002,6.080177426338196E-002,-6.857151985168457E-001,-7.044900655746460E-001,
7.736666666666666E+008,-5.050041154026985E-002,6.983719766139984E-002,-7.111967206001282E-001,-6.962420344352722E-001,-5.050041154026985E-002,6.983719766139984E-002,-7.111967206001282E-001,-6.962420344352722E-001,
7.820333333333334E+008,-4.356948658823967E-002,7.380610704421997E-002,-7.336087226867676E-001,-6.725699901580811E-001,-4.356948658823967E-002,7.380610704421997E-002,-7.336087226867676E-001,-6.725699901580811E-001,
7.904000000000000E+008,-3.382531926035881E-002,7.239370793104172E-002,-7.482531666755676E-001,-6.495041847229004E-001,-3.382531926035881E-002,7.239370793104172E-002,-7.482531666755676E-001,-6.495041847229004E-001,
7.987666666666666E+008,-2.623843960464001E-002,6.816189736127853E-002,-7.604758143424988E-001,-6.294345855712891E-001,-2.623843960464001E-002,6.816189736127853E-002,-7.604758143424988E-001,-6.294345855712891E-001,
8.071333333333334E+008,-2.623307518661022E-002,6.395944207906723E-002,-7.738937735557556E-001,-6.151508688926697E-001,-2.623307518661022E-002,6.395944207906723E-002,-7.738937735557556E-001,-6.151508688926697E-001,
8.155000000000000E+008,-3.020929172635078E-002,5.697501450777054E-002,-7.833353877067566E-001,-5.695093274116516E-001,-3.020929172635078E-002,5.697501450777054E-002,-7.833353877067566E-001,-5.695093274116516E-001,
8.238666666666666E+008,-3.470453619956970E-002,5.477377399802208E-002,-8.152117729187012E-001,-5.731285214424133E-001,-3.470453619956970E-002,5.477377399802208E-002,-8.152117729187012E-001,-5.731285214424133E-001,
8.322333333333334E+008,-4.282343387603760E-002,5.722352862358093E-002,-8.260471820831299E-001,-5.445742607116699E-001,-4.282343387603760E-002,5.722352862358093E-002,-8.260471820831299E-001,-5.445742607116699E-001,
8.406000000000000E+008,-4.694905877113342E-002,6.111894547939301E-002,-8.379324078559876E-001,-5.298538804054260E-001,-4.694905877113342E-002,6.111894547939301E-002,-8.379324078559876E-001,-5.298538804054260E-001,
8.489666666666668E+008,-4.676187410950661E-002,6.959068030118942E-002,-8.578676581382752E-001,-5.025240182876587E-001,-4.676187410950661E-002,6.959068030118942E-002,-8.578676581382752E-001,-5.025240182876587E-001,
8.573333333333334E+008,-4.268932715058327E-002,7.726921886205673E-002,-8.624519109725952E-001,-4.847357869148254E-001,-4.268932715058327E-002,7.726921886205673E-002,-8.624519109725952E-001,-4.847357869148254E-001,
8.657000000000000E+008,-3.502274304628372E-002,8.618484437465668E-002,-8.785313963890076E-001,-4.552583992481232E-001,-3.502274304628372E-002,8.618484437465668E-002,-8.785313963890076E-001,-4.552583992481232E-001,
8.740666666666668E+008,-2.588503248989582E-002,9.117037802934647E-002,-8.723790049552918E-001,-4.371331632137299E-001,-2.588503248989582E-002,9.117037802934647E-002,-8.723790049552918E-001,-4.371331632137299E-001,
8.824333333333334E+008,-1.602582633495331E-002,9.006083756685257E-002,-9.033061861991882E-001,-4.051744341850281E-001,-1.602582633495331E-002,9.006083756685257E-002,-9.033061861991882E-001,-4.051744341850281E-001,
8.908000000000000E+008,-8.074938319623470E-003,9.007126092910767E-002,-9.141448140144348E-001,-4.013553559780121E-001,-8.074938319623470E-003,9.007126092910767E-002,-9.141448140144348E-001,-4.013553559780121E-001,
8.991666666666668E+008,-5.306114442646503E-003,8.331443369388580E-002,-9.248629212379456E-001,-3.717281520366669E-001,-5.306114442646503E-003,8.331443369388580E-002,-9.248629212379456E-001,-3.717281520366669E-001,
9.075333333333334E+008,-5.110724829137325E-003,7.900056242942810E-002,-9.165281653404236E-001,-3.463200926780701E-001,-5.110724829137325E-003,7.900056242942810E-002,-9.165281653404236E-001,-3.463200926780701E-001,
9.159000000000000E+008,-7.244872860610485E-003,7.454728335142136E-002,-9.320002198219299E-001,-3.351847231388092E-001,-7.244872860610485E-003,7.454728335142136E-002,-9.320002198219299E-001,-3.351847231388092E-001,
9.242666666666668E+008,-1.209456473588944E-002,7.042767107486725E-002,-9.422003030776978E-001,-3.094232380390167E-001,-1.209456473588944E-002,7.042767107486725E-002,-9.422003030776978E-001,-3.094232380390167E-001,
9.326333333333334E+008,-1.616460271179676E-002,7.290374487638474E-002,-9.455664753913879E-001,-2.746874392032623E-001,-1.616460271179676E-002,7.290374487638474E-002,-9.455664753913879E-001,-2.746874392032623E-001,
9.410000000000000E+008,-2.077456004917622E-002,7.948063313961029E-002,-9.512820839881897E-001,-2.465976327657700E-001,-2.077456004917622E-002,7.948063313961029E-002,-9.512820839881897E-001,-2.465976327657700E-001,
9.493666666666668E+008,-2.064552716910839E-002,8.701223880052567E-002,-9.569202661514282E-001,-2.368703931570053E-001,-2.064552716910839E-002,8.701223880052567E-002,-9.569202661514282E-001,-2.368703931570053E-001,
9.577333333333334E+008,-1.502291020005941E-002,9.476758539676666E-002,-9.812384247779846E-001,-1.940844506025314E-001,-1.502291020005941E-002,9.476758539676666E-002,-9.812384247779846E-001,-1.940844506025314E-001,
