% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-6.800019741058350E-002,2.069488912820816E-002,-4.553860723972321E-001,-8.636422157287598E-001,-6.800019741058350E-002,2.069488912820816E-002,-4.553860723972321E-001,-8.636422157287598E-001,
6.983666666666666E+008,-6.044018268585205E-002,2.259402163326740E-002,-4.762309491634369E-001,-8.499599099159241E-001,-6.044018268585205E-002,2.259402163326740E-002,-4.762309491634369E-001,-8.499599099159241E-001,
7.067333333333334E+008,-5.353853106498718E-002,2.118754759430885E-002,-5.095928907394409E-001,-8.278980255126953E-001,-5.353853106498718E-002,2.118754759430885E-002,-5.095928907394409E-001,-8.278980255126953E-001,
7.151000000000000E+008,-5.310392379760742E-002,1.277227979153395E-002,-5.200259685516357E-001,-8.221329450607300E-001,-5.310392379760742E-002,1.277227979153395E-002,-5.200259685516357E-001,-8.221329450607300E-001,
7.234666666666666E+008,-5.173040926456451E-002,9.059224277734757E-003,-5.558543205261231E-001,-8.097555637359619E-001,-5.173040926456451E-002,9.059224277734757E-003,-5.558543205261231E-001,-8.097555637359619E-001,
7.318333333333334E+008,-5.915154144167900E-002,6.003888323903084E-003,-5.645203590393066E-001,-8.003013730049133E-001,-5.915154144167900E-002,6.003888323903084E-003,-5.645203590393066E-001,-8.003013730049133E-001,
7.402000000000000E+008,-6.553628295660019E-002,7.912205532193184E-003,-5.948012471199036E-001,-7.813309431076050E-001,-6.553628295660019E-002,7.912205532193184E-003,-5.948012471199036E-001,-7.813309431076050E-001,
7.485666666666666E+008,-7.027239352464676E-002,1.297332812100649E-002,-6.201835870742798E-001,-7.454615831375122E-001,-7.027239352464676E-002,1.297332812100649E-002,-6.201835870742798E-001,-7.454615831375122E-001,
7.569333333333334E+008,-7.040337473154068E-002,2.217053249478340E-002,-6.351609826087952E-001,-7.528700828552246E-001,-7.040337473154068E-002,2.217053249478340E-002,-6.351609826087952E-001,-7.528700828552246E-001,
7.653000000000000E+008,-6.679538637399674E-002,3.224384039640427E-002,-6.425715684890747E-001,-7.313324213027954E-001,-6.679538637399674E-002,3.224384039640427E-002,-6.425715684890747E-001,-7.313324213027954E-001,
7.736666666666666E+008,-5.808760970830917E-002,4.077772051095963E-002,-6.668919324874878E-001,-7.289118170738220E-001,-5.808760970830917E-002,4.077772051095963E-002,-6.668919324874878E-001,-7.289118170738220E-001,
7.820333333333334E+008,-5.151529982686043E-002,4.490537196397781E-002,-6.930523514747620E-001,-7.094405889511108E-001,-5.151529982686043E-002,4.490537196397781E-002,-6.930523514747620E-001,-7.094405889511108E-001,
7.904000000000000E+008,-4.067530110478401E-002,4.449519142508507E-002,-7.068393826484680E-001,-6.890234947204590E-001,-4.067530110478401E-002,4.449519142508507E-002,-7.068393826484680E-001,-6.890234947204590E-001,
7.987666666666666E+008,-3.289893269538879E-002,4.060589522123337E-002,-7.193011045455933E-001,-6.724613904953003E-001,-3.289893269538879E-002,4.060589522123337E-002,-7.193011045455933E-001,-6.724613904953003E-001,
8.071333333333334E+008,-3.221951425075531E-002,3.660052269697189E-002,-7.377285957336426E-001,-6.605342626571655E-001,-3.221951425075531E-002,3.660052269697189E-002,-7.377285957336426E-001,-6.605342626571655E-001,
8.155000000000000E+008,-3.411311656236649E-002,3.010653890669346E-002,-7.515250444412231E-001,-6.080689430236816E-001,-3.411311656236649E-002,3.010653890669346E-002,-7.515250444412231E-001,-6.080689430236816E-001,
8.238666666666666E+008,-3.773779422044754E-002,2.708793804049492E-002,-7.739257216453552E-001,-6.168914437294006E-001,-3.773779422044754E-002,2.708793804049492E-002,-7.739257216453552E-001,-6.168914437294006E-001,
8.322333333333334E+008,-4.607160016894341E-002,2.884026058018208E-002,-7.953517436981201E-001,-5.894023180007935E-001,-4.607160016894341E-002,2.884026058018208E-002,-7.953517436981201E-001,-5.894023180007935E-001,
8.406000000000000E+008,-4.977304115891457E-002,3.238739818334580E-002,-8.058635592460632E-001,-5.737818479537964E-001,-4.977304115891457E-002,3.238739818334580E-002,-8.058635592460632E-001,-5.737818479537964E-001,
8.489666666666668E+008,-5.038471519947052E-002,3.938545286655426E-002,-8.290750980377197E-001,-5.450856685638428E-001,-5.038471519947052E-002,3.938545286655426E-002,-8.290750980377197E-001,-5.450856685638428E-001,
8.573333333333334E+008,-4.666789993643761E-002,4.665057733654976E-002,-8.368364572525024E-001,-5.280451774597168E-001,-4.666789993643761E-002,4.665057733654976E-002,-8.368364572525024E-001,-5.280451774597168E-001,
8.657000000000000E+008,-3.933442384004593E-002,5.553780868649483E-002,-8.547364473342896E-001,-5.033032894134522E-001,-3.933442384004593E-002,5.553780868649483E-002,-8.547364473342896E-001,-5.033032894134522E-001,
