% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-5.046758055686951E-002,2.168861776590347E-002,-4.983736574649811E-001,-8.544700145721436E-001,-5.046758055686951E-002,2.168861776590347E-002,-4.983736574649811E-001,-8.544700145721436E-001,
6.983666666666666E+008,-4.334553703665733E-002,2.158163487911224E-002,-5.156037211418152E-001,-8.374003767967224E-001,-4.334553703665733E-002,2.158163487911224E-002,-5.156037211418152E-001,-8.374003767967224E-001,
7.067333333333334E+008,-3.789902478456497E-002,1.810870692133904E-002,-5.444124937057495E-001,-8.106753826141357E-001,-3.789902478456497E-002,1.810870692133904E-002,-5.444124937057495E-001,-8.106753826141357E-001,
7.151000000000000E+008,-3.875814378261566E-002,9.674636647105217E-003,-5.528948903083801E-001,-8.026099205017090E-001,-3.875814378261566E-002,9.674636647105217E-003,-5.528948903083801E-001,-8.026099205017090E-001,
7.234666666666666E+008,-3.952955082058907E-002,3.740907413884997E-003,-5.915975570678711E-001,-7.908205389976502E-001,-3.952955082058907E-002,3.740907413884997E-003,-5.915975570678711E-001,-7.908205389976502E-001,
7.318333333333334E+008,-4.764974489808083E-002,2.569702519394923E-005,-5.977589488029480E-001,-7.857886552810669E-001,-4.764974489808083E-002,2.569702519394923E-005,-5.977589488029480E-001,-7.857886552810669E-001,
7.402000000000000E+008,-5.598713085055351E-002,1.566372695378959E-003,-6.277577877044678E-001,-7.625606656074524E-001,-5.598713085055351E-002,1.566372695378959E-003,-6.277577877044678E-001,-7.625606656074524E-001,
7.485666666666666E+008,-6.158171221613884E-002,6.673758383840323E-003,-6.491135358810425E-001,-7.254112362861633E-001,-6.158171221613884E-002,6.673758383840323E-003,-6.491135358810425E-001,-7.254112362861633E-001,
7.569333333333334E+008,-6.313421577215195E-002,1.574681699275971E-002,-6.650424599647522E-001,-7.277012467384338E-001,-6.313421577215195E-002,1.574681699275971E-002,-6.650424599647522E-001,-7.277012467384338E-001,
7.653000000000000E+008,-6.051129475235939E-002,2.440956421196461E-002,-6.725134849548340E-001,-7.207081913948059E-001,-6.051129475235939E-002,2.440956421196461E-002,-6.725134849548340E-001,-7.207081913948059E-001,
7.736666666666666E+008,-5.334540456533432E-002,3.284348547458649E-002,-6.978348493576050E-001,-7.126932144165039E-001,-5.334540456533432E-002,3.284348547458649E-002,-6.978348493576050E-001,-7.126932144165039E-001,
7.820333333333334E+008,-4.728708043694496E-002,3.670838102698326E-002,-7.213538289070129E-001,-6.900709867477417E-001,-4.728708043694496E-002,3.670838102698326E-002,-7.213538289070129E-001,-6.900709867477417E-001,
7.904000000000000E+008,-3.807315975427628E-002,3.495879098773003E-002,-7.365435361862183E-001,-6.670157909393311E-001,-3.807315975427628E-002,3.495879098773003E-002,-7.365435361862183E-001,-6.670157909393311E-001,
7.987666666666666E+008,-3.156311437487602E-002,3.031593561172485E-002,-7.494049072265625E-001,-6.468647718429565E-001,-3.156311437487602E-002,3.031593561172485E-002,-7.494049072265625E-001,-6.468647718429565E-001,
8.071333333333334E+008,-3.211420774459839E-002,2.549634501338005E-002,-7.621169686317444E-001,-6.336287260055542E-001,-3.211420774459839E-002,2.549634501338005E-002,-7.621169686317444E-001,-6.336287260055542E-001,
8.155000000000000E+008,-3.656728565692902E-002,1.814591884613037E-002,-7.722455859184265E-001,-5.875563025474548E-001,-3.656728565692902E-002,1.814591884613037E-002,-7.722455859184265E-001,-5.875563025474548E-001,
8.238666666666666E+008,-4.242059960961342E-002,1.485832594335079E-002,-8.038514256477356E-001,-5.921890735626221E-001,-4.242059960961342E-002,1.485832594335079E-002,-8.038514256477356E-001,-5.921890735626221E-001,
8.322333333333334E+008,-5.160523951053619E-002,1.649777777493000E-002,-8.153827190399170E-001,-5.641674995422363E-001,-5.160523951053619E-002,1.649777777493000E-002,-8.153827190399170E-001,-5.641674995422363E-001,
8.406000000000000E+008,-5.730902776122093E-002,1.997331529855728E-002,-8.274306654930115E-001,-5.498962998390198E-001,-5.730902776122093E-002,1.997331529855728E-002,-8.274306654930115E-001,-5.498962998390198E-001,
8.489666666666668E+008,-5.885250493884087E-002,2.760230004787445E-002,-8.477152585983276E-001,-5.237802267074585E-001,-5.885250493884087E-002,2.760230004787445E-002,-8.477152585983276E-001,-5.237802267074585E-001,
8.573333333333334E+008,-5.655128136277199E-002,3.515967354178429E-002,-8.533490896224976E-001,-5.064838528633118E-001,-5.655128136277199E-002,3.515967354178429E-002,-8.533490896224976E-001,-5.064838528633118E-001,
8.657000000000000E+008,-5.077683553099632E-002,4.394664987921715E-002,-8.697914481163025E-001,-4.781770110130310E-001,-5.077683553099632E-002,4.394664987921715E-002,-8.697914481163025E-001,-4.781770110130310E-001,
8.740666666666668E+008,-4.317128285765648E-002,4.905862733721733E-002,-8.644079566001892E-001,-4.592418372631073E-001,-4.317128285765648E-002,4.905862733721733E-002,-8.644079566001892E-001,-4.592418372631073E-001,
8.824333333333334E+008,-3.470542281866074E-002,4.793503880500794E-002,-8.962663412094116E-001,-4.273562431335449E-001,-3.470542281866074E-002,4.793503880500794E-002,-8.962663412094116E-001,-4.273562431335449E-001,
8.908000000000000E+008,-2.812179364264011E-002,4.797694087028503E-002,-9.070204496383667E-001,-4.239917397499085E-001,-2.812179364264011E-002,4.797694087028503E-002,-9.070204496383667E-001,-4.239917397499085E-001,
8.991666666666668E+008,-2.593316510319710E-002,4.095225781202316E-002,-9.186043143272400E-001,-3.948069810867310E-001,-2.593316510319710E-002,4.095225781202316E-002,-9.186043143272400E-001,-3.948069810867310E-001,
9.075333333333334E+008,-2.656900323927403E-002,3.649048879742622E-002,-9.101934432983398E-001,-3.689229190349579E-001,-2.656900323927403E-002,3.649048879742622E-002,-9.101934432983398E-001,-3.689229190349579E-001,
9.159000000000000E+008,-3.075197897851467E-002,3.188258409500122E-002,-9.254854321479797E-001,-3.585259616374970E-001,-3.075197897851467E-002,3.188258409500122E-002,-9.254854321479797E-001,-3.585259616374970E-001,
9.242666666666668E+008,-3.675838187336922E-002,2.784462459385395E-002,-9.362735748291016E-001,-3.329172134399414E-001,-3.675838187336922E-002,2.784462459385395E-002,-9.362735748291016E-001,-3.329172134399414E-001,
9.326333333333334E+008,-4.231677576899529E-002,3.020695783197880E-002,-9.407596588134766E-001,-2.988621294498444E-001,-4.231677576899529E-002,3.020695783197880E-002,-9.407596588134766E-001,-2.988621294498444E-001,
9.410000000000000E+008,-4.843870177865028E-002,3.673507273197174E-002,-9.474114179611206E-001,-2.716016173362732E-001,-4.843870177865028E-002,3.673507273197174E-002,-9.474114179611206E-001,-2.716016173362732E-001,
9.493666666666668E+008,-5.054669082164764E-002,4.412651434540749E-002,-9.526424407958984E-001,-2.622244060039520E-001,-5.054669082164764E-002,4.412651434540749E-002,-9.526424407958984E-001,-2.622244060039520E-001,
9.577333333333334E+008,-4.613769054412842E-002,5.263067409396172E-002,-9.784877896308899E-001,-2.204349488019943E-001,-4.613769054412842E-002,5.263067409396172E-002,-9.784877896308899E-001,-2.204349488019943E-001,
9.661000000000000E+008,-3.920688480138779E-002,5.989688262343407E-002,-9.639333486557007E-001,-2.065258622169495E-001,-3.920688480138779E-002,5.989688262343407E-002,-9.639333486557007E-001,-2.065258622169495E-001,
9.744666666666668E+008,-3.059569932520390E-002,6.462796777486801E-002,-9.751170873641968E-001,-1.734978258609772E-001,-3.059569932520390E-002,6.462796777486801E-002,-9.751170873641968E-001,-1.734978258609772E-001,
9.828333333333334E+008,-1.790673285722733E-002,6.310902535915375E-002,-9.716815352439880E-001,-1.481492072343826E-001,-1.790673285722733E-002,6.310902535915375E-002,-9.716815352439880E-001,-1.481492072343826E-001,
9.912000000000000E+008,-9.157859720289707E-003,6.028813123703003E-002,-9.824042916297913E-001,-1.383403986692429E-001,-9.157859720289707E-003,6.028813123703003E-002,-9.824042916297913E-001,-1.383403986692429E-001,
9.995666666666668E+008,-5.402114242315292E-003,5.179400742053986E-002,-9.867562055587769E-001,-1.020216867327690E-001,-5.402114242315292E-003,5.179400742053986E-002,-9.867562055587769E-001,-1.020216867327690E-001,
1.007933333333333E+009,-6.181054748594761E-003,4.369088262319565E-002,-9.897432327270508E-001,-8.192246407270432E-002,-6.181054748594761E-003,4.369088262319565E-002,-9.897432327270508E-001,-8.192246407270432E-002,
1.016300000000000E+009,-1.331882085651159E-002,3.610575944185257E-002,-9.891419410705566E-001,-5.499924346804619E-002,-1.331882085651159E-002,3.610575944185257E-002,-9.891419410705566E-001,-5.499924346804619E-002,
1.024666666666667E+009,-2.191271819174290E-002,3.564710170030594E-002,-9.905408024787903E-001,-3.422806411981583E-002,-2.191271819174290E-002,3.564710170030594E-002,-9.905408024787903E-001,-3.422806411981583E-002,
1.033033333333333E+009,-3.014689497649670E-002,3.722027689218521E-002,-9.680697321891785E-001,5.104785319417715E-003,-3.014689497649670E-002,3.722027689218521E-002,-9.680697321891785E-001,5.104785319417715E-003,
1.041400000000000E+009,-3.526676446199417E-002,4.402599856257439E-002,-9.758535027503967E-001,2.545254305005074E-002,-3.526676446199417E-002,4.402599856257439E-002,-9.758535027503967E-001,2.545254305005074E-002,
1.049766666666667E+009,-3.699305653572083E-002,5.253088846802712E-002,-9.847592115402222E-001,4.692875593900681E-002,-3.699305653572083E-002,5.253088846802712E-002,-9.847592115402222E-001,4.692875593900681E-002,
1.058133333333333E+009,-2.979686856269836E-002,6.224928423762322E-002,-9.804671406745911E-001,7.122963666915894E-002,-2.979686856269836E-002,6.224928423762322E-002,-9.804671406745911E-001,7.122963666915894E-002,
