% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-1.704039238393307E-002,2.044297941029072E-002,-4.701650738716126E-001,-8.733586072921753E-001,-1.704039238393307E-002,2.044297941029072E-002,-4.701650738716126E-001,-8.733586072921753E-001,
6.983666666666666E+008,-9.228863753378391E-003,2.014950104057789E-002,-4.876247346401215E-001,-8.564895987510681E-001,-9.228863753378391E-003,2.014950104057789E-002,-4.876247346401215E-001,-8.564895987510681E-001,
7.067333333333334E+008,-2.839594380930066E-003,1.623647846281529E-002,-5.163242220878601E-001,-8.304797410964966E-001,-2.839594380930066E-003,1.623647846281529E-002,-5.163242220878601E-001,-8.304797410964966E-001,
7.151000000000000E+008,-2.978381467983127E-003,7.722510490566492E-003,-5.248900055885315E-001,-8.221830129623413E-001,-2.978381467983127E-003,7.722510490566492E-003,-5.248900055885315E-001,-8.221830129623413E-001,
7.234666666666666E+008,-2.626741537824273E-003,3.129712713416666E-004,-5.630463361740112E-001,-8.127468228340149E-001,-2.626741537824273E-003,3.129712713416666E-004,-5.630463361740112E-001,-8.127468228340149E-001,
7.318333333333334E+008,-9.682924486696720E-003,-4.701430909335613E-003,-5.689471364021301E-001,-8.083496689796448E-001,-9.682924486696720E-003,-4.701430909335613E-003,-5.689471364021301E-001,-8.083496689796448E-001,
7.402000000000000E+008,-1.775796152651310E-002,-4.903226625174284E-003,-6.000767946243286E-001,-7.863535881042481E-001,-1.775796152651310E-002,-4.903226625174284E-003,-6.000767946243286E-001,-7.863535881042481E-001,
7.485666666666666E+008,-2.341920882463455E-002,-7.721527363173664E-004,-6.228089332580566E-001,-7.495726943016052E-001,-2.341920882463455E-002,-7.721527363173664E-004,-6.228089332580566E-001,-7.495726943016052E-001,
7.569333333333334E+008,-2.579469233751297E-002,7.241894956678152E-003,-6.382994651794434E-001,-7.537889480590820E-001,-2.579469233751297E-002,7.241894956678152E-003,-6.382994651794434E-001,-7.537889480590820E-001,
7.653000000000000E+008,-2.361368946731091E-002,1.504947897046804E-002,-6.465879082679749E-001,-7.472950220108032E-001,-2.361368946731091E-002,1.504947897046804E-002,-6.465879082679749E-001,-7.472950220108032E-001,
7.736666666666666E+008,-1.658941619098187E-002,2.314103767275810E-002,-6.717283129692078E-001,-7.398104071617127E-001,-1.658941619098187E-002,2.314103767275810E-002,-6.717283129692078E-001,-7.398104071617127E-001,
7.820333333333334E+008,-1.079408917576075E-002,2.700641937553883E-002,-6.960396170616150E-001,-7.175714969635010E-001,-1.079408917576075E-002,2.700641937553883E-002,-6.960396170616150E-001,-7.175714969635010E-001,
7.904000000000000E+008,-1.219020923599601E-003,2.526625432074070E-002,-7.111230492591858E-001,-6.953472495079041E-001,-1.219020923599601E-003,2.526625432074070E-002,-7.111230492591858E-001,-6.953472495079041E-001,
7.987666666666666E+008,5.901061929762363E-003,1.973241567611694E-002,-7.241065502166748E-001,-6.757786273956299E-001,5.901061929762363E-003,1.973241567611694E-002,-7.241065502166748E-001,-6.757786273956299E-001,
8.071333333333334E+008,6.126481108367443E-003,1.428263541311026E-002,-7.362515330314636E-001,-6.629300117492676E-001,6.126481108367443E-003,1.428263541311026E-002,-7.362515330314636E-001,-6.629300117492676E-001,
8.155000000000000E+008,1.971181016415358E-003,6.057648453861475E-003,-7.480667233467102E-001,-6.180519461631775E-001,1.971181016415358E-003,6.057648453861475E-003,-7.480667233467102E-001,-6.180519461631775E-001,
8.238666666666666E+008,-3.228236222639680E-003,9.556819568388164E-004,-7.788577079772949E-001,-6.244720220565796E-001,-3.228236222639680E-003,9.556819568388164E-004,-7.788577079772949E-001,-6.244720220565796E-001,
8.322333333333334E+008,-1.237902045249939E-002,1.257185358554125E-003,-7.918647527694702E-001,-5.972805619239807E-001,-1.237902045249939E-002,1.257185358554125E-003,-7.918647527694702E-001,-5.972805619239807E-001,
8.406000000000000E+008,-1.851669512689114E-002,3.336666850373149E-003,-8.041797280311585E-001,-5.837998390197754E-001,-1.851669512689114E-002,3.336666850373149E-003,-8.041797280311585E-001,-5.837998390197754E-001,
8.489666666666668E+008,-2.029769681394100E-002,9.910629130899906E-003,-8.255853056907654E-001,-5.592440962791443E-001,-2.029769681394100E-002,9.910629130899906E-003,-8.255853056907654E-001,-5.592440962791443E-001,
8.573333333333334E+008,-1.869807951152325E-002,1.683742925524712E-002,-8.316231966018677E-001,-5.431500673294067E-001,-1.869807951152325E-002,1.683742925524712E-002,-8.316231966018677E-001,-5.431500673294067E-001,
8.657000000000000E+008,-1.341646071523428E-002,2.510982006788254E-002,-8.494083285331726E-001,-5.150843858718872E-001,-1.341646071523428E-002,2.510982006788254E-002,-8.494083285331726E-001,-5.150843858718872E-001,
8.740666666666668E+008,-6.057931575924158E-003,2.996398508548737E-002,-8.443490266799927E-001,-4.960063695907593E-001,-6.057931575924158E-003,2.996398508548737E-002,-8.443490266799927E-001,-4.960063695907593E-001,
8.824333333333334E+008,2.550706965848804E-003,2.851177006959915E-002,-8.774585723876953E-001,-4.657128453254700E-001,2.550706965848804E-003,2.851177006959915E-002,-8.774585723876953E-001,-4.657128453254700E-001,
8.908000000000000E+008,9.512719698250294E-003,2.789057046175003E-002,-8.881320357322693E-001,-4.630177021026611E-001,9.512719698250294E-003,2.789057046175003E-002,-8.881320357322693E-001,-4.630177021026611E-001,
8.991666666666668E+008,1.244718302041292E-002,2.047551423311234E-002,-8.999300003051758E-001,-4.344682395458221E-001,1.244718302041292E-002,2.047551423311234E-002,-8.999300003051758E-001,-4.344682395458221E-001,
9.075333333333334E+008,1.226906385272741E-002,1.511099748313427E-002,-8.927642703056335E-001,-4.087841808795929E-001,1.226906385272741E-002,1.511099748313427E-002,-8.927642703056335E-001,-4.087841808795929E-001,
9.159000000000000E+008,8.270421996712685E-003,8.255567401647568E-003,-9.078496694564819E-001,-4.000690579414368E-001,8.270421996712685E-003,8.255567401647568E-003,-9.078496694564819E-001,-4.000690579414368E-001,
9.242666666666668E+008,1.984219998121262E-003,2.758246846497059E-003,-9.200233817100525E-001,-3.764553070068359E-001,1.984219998121262E-003,2.758246846497059E-003,-9.200233817100525E-001,-3.764553070068359E-001,
9.326333333333334E+008,-4.049838986247778E-003,3.659299574792385E-003,-9.260097146034241E-001,-3.429483771324158E-001,-4.049838986247778E-003,3.659299574792385E-003,-9.260097146034241E-001,-3.429483771324158E-001,
9.410000000000000E+008,-1.088786218315363E-002,9.106099605560303E-003,-9.340878129005432E-001,-3.164159953594208E-001,-1.088786218315363E-002,9.106099605560303E-003,-9.340878129005432E-001,-3.164159953594208E-001,
9.493666666666668E+008,-1.368918363004923E-002,1.522297877818346E-002,-9.405027627944946E-001,-3.073150515556335E-001,-1.368918363004923E-002,1.522297877818346E-002,-9.405027627944946E-001,-3.073150515556335E-001,
9.577333333333334E+008,-1.046219654381275E-002,2.377717569470406E-002,-9.683596491813660E-001,-2.670527100563049E-001,-1.046219654381275E-002,2.377717569470406E-002,-9.683596491813660E-001,-2.670527100563049E-001,
9.661000000000000E+008,-4.088352899998426E-003,3.007029555737972E-002,-9.545475244522095E-001,-2.519391179084778E-001,-4.088352899998426E-003,3.007029555737972E-002,-9.545475244522095E-001,-2.519391179084778E-001,
